DATE,IPG3364S_PCH
1972-04-01,-2.40384
1972-07-01,-3.22950
1972-10-01,5.79514
1973-01-01,8.55849
1973-04-01,2.67355
1973-07-01,1.70465
1973-10-01,1.50922
1974-01-01,-2.78069
1974-04-01,-1.91743
1974-07-01,2.34111
1974-10-01,0.68023
1975-01-01,-5.55890
1975-04-01,-0.39026
1975-07-01,-1.84179
1975-10-01,-0.92704
1976-01-01,-0.44013
1976-04-01,-4.81758
1976-07-01,-4.73793
1976-10-01,0.90457
1977-01-01,1.82435
1977-04-01,5.63006
1977-07-01,-2.49284
1977-10-01,-11.18378
1978-01-01,8.44936
1978-04-01,11.26767
1978-07-01,6.61840
1978-10-01,3.44383
1979-01-01,6.02299
1979-04-01,2.24226
1979-07-01,4.67515
1979-10-01,4.12737
1980-01-01,3.71244
1980-04-01,0.87836
1980-07-01,1.54001
1980-10-01,3.61284
1981-01-01,-3.14562
1981-04-01,-4.03426
1981-07-01,-3.22427
1981-10-01,-0.41537
1982-01-01,-0.84133
1982-04-01,-1.33172
1982-07-01,0.51571
1982-10-01,3.84440
1983-01-01,-0.58847
1983-04-01,-4.24623
1983-07-01,-2.26230
1983-10-01,0.87955
1984-01-01,3.67322
1984-04-01,3.69991
1984-07-01,2.58618
1984-10-01,3.75531
1985-01-01,1.67870
1985-04-01,1.80186
1985-07-01,2.05571
1985-10-01,3.13585
1986-01-01,1.95685
1986-04-01,1.43684
1986-07-01,1.68293
1986-10-01,1.84137
1987-01-01,1.19181
1987-04-01,0.38120
1987-07-01,0.34999
1987-10-01,1.55278
1988-01-01,2.44413
1988-04-01,-0.42842
1988-07-01,2.07565
1988-10-01,1.28880
1989-01-01,1.87375
1989-04-01,5.66655
1989-07-01,-0.17222
1989-10-01,-7.75284
1990-01-01,4.50768
1990-04-01,0.81485
1990-07-01,0.53044
1990-10-01,-0.47083
1991-01-01,-0.32694
1991-04-01,-2.84258
1991-07-01,-0.52597
1991-10-01,-1.10468
1992-01-01,-4.06565
1992-04-01,-3.94230
1992-07-01,-1.53390
1992-10-01,-0.39191
1993-01-01,-1.74334
1993-04-01,-4.10567
1993-07-01,-2.35966
1993-10-01,-2.57755
1994-01-01,-4.78942
1994-04-01,-3.80243
1994-07-01,-3.36165
1994-10-01,0.28927
1995-01-01,-0.74977
1995-04-01,0.66708
1995-07-01,-1.98687
1995-10-01,-8.90017
1996-01-01,4.04170
1996-04-01,8.93761
1996-07-01,3.30635
1996-10-01,2.25556
1997-01-01,1.97536
1997-04-01,3.61648
1997-07-01,2.63602
1997-10-01,4.54678
1998-01-01,5.23836
1998-04-01,4.91268
1998-07-01,5.08298
1998-10-01,0.93766
1999-01-01,-3.84398
1999-04-01,-3.56463
1999-07-01,-3.91631
1999-10-01,-7.26956
2000-01-01,-6.99518
2000-04-01,-4.52244
2000-07-01,1.64787
2000-10-01,4.26674
2001-01-01,4.22043
2001-04-01,2.21222
2001-07-01,2.30835
2001-10-01,-1.74040
2002-01-01,-4.05567
2002-04-01,-5.00775
2002-07-01,-2.71610
2002-10-01,-2.07075
2003-01-01,0.01780
2003-04-01,-0.42892
2003-07-01,-2.30697
2003-10-01,-2.11185
2004-01-01,-2.96040
2004-04-01,0.13545
2004-07-01,2.50818
2004-10-01,3.97866
2005-01-01,4.88022
2005-04-01,7.22054
2005-07-01,-5.43399
2005-10-01,6.15276
2006-01-01,1.73260
2006-04-01,0.62985
2006-07-01,1.00277
2006-10-01,2.49439
2007-01-01,4.38788
2007-04-01,5.27486
2007-07-01,7.82397
2007-10-01,4.48512
2008-01-01,0.12257
2008-04-01,0.21715
2008-07-01,-13.56928
2008-10-01,-10.78266
2009-01-01,11.75699
2009-04-01,-3.59067
2009-07-01,-0.06558
2009-10-01,1.59272
2010-01-01,2.32880
2010-04-01,0.77634
2010-07-01,1.68768
2010-10-01,-2.42049
2011-01-01,-2.60215
2011-04-01,0.87459
2011-07-01,3.17713
2011-10-01,3.36328
2012-01-01,3.25635
2012-04-01,1.86235
2012-07-01,3.15285
2012-10-01,1.16584
2013-01-01,0.21770
2013-04-01,-0.11273
2013-07-01,-1.25398
2013-10-01,0.75791
2014-01-01,1.39851
2014-04-01,3.03886
2014-07-01,2.11544
2014-10-01,1.48972
2015-01-01,0.41381
2015-04-01,-1.44318
2015-07-01,-2.67485
2015-10-01,-2.97173
2016-01-01,-2.72302
2016-04-01,-0.61240
2016-07-01,-0.59306
2016-10-01,1.34331
2017-01-01,1.14125
2017-04-01,2.72477
2017-07-01,1.86241
2017-10-01,-0.21313
2018-01-01,-1.05878
2018-04-01,0.12007
2018-07-01,-0.40793
2018-10-01,-2.06006
2019-01-01,0.03258
2019-04-01,-2.28573
2019-07-01,3.57869
2019-10-01,3.78806
2020-01-01,-18.11684
2020-04-01,-21.84508
2020-07-01,22.81969
2020-10-01,5.44330
2021-01-01,7.02133
2021-04-01,-1.27492
2021-07-01,4.36501
2021-10-01,-0.10657
2022-01-01,.
